accelX,accelY,accelZ,gyroX,gyroY,gyroZ,activity
1012,104,16200,13,2,3,0
988,28,16104,-18,11,-7,0
984,168,16276,7,10,-2,0
836,72,16240,-6,12,-8,0
1028,148,16184,2,7,-10,0
1012,160,16164,-11,-7,-5,0
996,180,16212,5,4,-13,0
1036,128,16276,6,1,-7,0
992,168,16280,5,1,-10,0
1032,148,16208,13,13,-10,0
1012,88,16116,9,11,-13,0
904,132,16112,12,25,-5,0
1032,84,16212,27,28,-6,0
940,120,16216,31,31,-4,0
872,192,16344,19,15,3,0
988,172,16280,26,27,-7,0
872,192,16344,19,15,3,0
988,172,16280,26,27,-7,0
1028,128,16200,-14,3,-11,0
1040,172,16192,16,4,-10,0
916,180,16184,16,6,3,0
1000,156,16216,-16,-28,-1,0
892,164,16488,11,-25,-1,0
868,8,16192,-27,2,17,0
992,164,16312,-11,-14,2,0
1000,120,16152,9,-6,-4,0
932,196,16268,-3,8,-3,0
1088,172,16224,-6,-1,1,0
896,168,16312,-2,-2,-5,0
1028,68,16268,-6,-3,3,0
980,124,16364,-7,4,-9,0
1100,204,16264,39,43,-19,0
1056,140,16220,9,7,-1,0
992,112,16188,-3,9,-12,0
964,116,16128,-8,-24,8,0
1004,156,16156,3,11,-12,0
976,108,16220,8,11,-9,0
784,160,16340,39,43,-24,0
1096,184,16216,-3,10,-13,0
948,84,16212,15,12,-9,0
1048,180,16172,5,2,-3,0
1024,216,16160,11,2,-10,0
996,188,16216,3,-5,-7,0
964,188,16344,2,0,5,0
904,216,16252,-9,-1,-3,0
996,160,16196,-9,-17,1,0
1004,160,16264,4,1,3,0
988,132,16304,15,18,-6,0
940,68,16256,8,14,-5,0
1028,104,16228,3,2,-10,0
1040,148,16296,0,0,-7,0
996,112,16316,-1,6,-7,0
1020,164,16140,1,4,1,0
948,200,16288,7,5,-7,0
1088,160,16196,4,1,-8,0
756,148,16628,7,5,3,0
972,132,16120,-5,2,-9,0
992,104,16188,0,2,-7,0
1016,168,16224,-6,-6,-10,0
1040,192,16284,13,5,-15,0
984,144,16180,4,12,-4,0
952,140,16212,1,9,-4,0
992,140,16128,5,5,0,0
956,188,16216,3,12,-9,0
1048,68,16064,-4,6,-5,0
992,228,16124,5,-7,-5,0
940,12,16264,-8,8,-6,0
900,108,16320,1,3,-4,0
1020,144,16288,-10,-16,2,0
996,184,16184,-4,-1,-4,0
992,260,16096,17,13,-15,0
1040,172,16096,-4,1,-10,0
1040,152,16056,1,5,-12,0
1084,4,16020,59,70,-28,0
976,104,16172,-2,5,2,0
1092,228,16320,-18,-19,-3,0
852,112,16348,9,22,9,0
1060,60,16132,-17,-12,-2,0
1036,192,16068,-2,-13,-6,0
1004,100,16272,-1,-3,-6,0
936,192,16248,5,9,-6,0
1028,180,16324,3,-3,-6,0
1004,124,16284,-11,3,2,0
952,108,16260,1,11,-9,0
1076,136,16200,3,2,-3,0
1076,136,16200,3,2,-3,0
1000,88,16264,-5,9,-10,0
1120,140,16076,-3,2,-5,0
1032,160,16064,14,3,-11,0
1024,152,16076,0,7,-4,0
956,180,16192,0,4,-8,0
956,80,16352,-4,7,-2,0
976,92,16196,7,17,-11,0
936,144,16304,-4,7,-5,0
988,112,16272,13,26,-8,0
1024,164,16252,19,-2,-2,0
1020,196,16100,21,27,-10,0
1060,160,16152,12,11,-5,0
1056,44,16188,1,11,-10,0
1008,200,16276,28,18,-9,0
960,164,16364,-5,10,-2,0
984,172,16340,11,7,-9,0
1004,148,16140,-2,-4,-4,0
1044,240,16220,9,-3,-6,0
964,140,16088,-1,3,3,0
972,220,16260,8,5,-12,0
984,164,16160,8,-9,-4,0
972,140,16308,9,6,-1,0
968,168,16316,4,8,-2,0
1120,44,16108,-10,-10,-5,0
1004,164,16248,4,2,0,0
980,152,16144,3,3,-2,0
996,168,16252,6,-1,2,0
976,148,16172,3,1,-2,0
968,232,16164,11,-1,-3,0
956,80,16308,-28,-26,9,0
908,284,16372,40,56,-21,0
1016,148,16104,-12,-4,8,0
940,220,16236,4,8,-8,0
1020,108,16292,-13,4,-3,0
1016,100,16244,-6,6,-5,0
968,136,16152,5,6,-2,0
952,176,16160,2,11,-16,0
1000,140,16212,-6,-4,-6,0
896,140,16288,8,11,-8,0
1012,156,16220,8,10,-10,0
992,156,16260,-4,2,-9,0
1076,120,16100,-2,2,-7,0
976,156,16080,5,3,-11,0
1012,156,16196,-3,-3,-10,0
1036,156,16220,0,0,1,0
1048,108,16144,-4,3,-8,0
1020,168,16180,8,4,-8,0
988,124,16172,-3,1,-11,0
1040,16,16156,-3,6,-2,0
952,148,16232,7,0,-1,0
